province_code,province_name,regency_code,regency_name,district_code,district_name,village_code,village_name
"31","Daerah Khusus Ibukota Jakarta","31.01","Kabupaten Administrasi Kepulauan Seribu","31.01.01","Kepulauan Seribu Utara","31.01.01.1001","Pulau Panggang"
"31","Daerah Khusus Ibukota Jakarta","31.01","Kabupaten Administrasi Kepulauan Seribu","31.01.01","Kepulauan Seribu Utara","31.01.01.1002","Pulau Kelapa"
"31","Daerah Khusus Ibukota Jakarta","31.01","Kabupaten Administrasi Kepulauan Seribu","31.01.01","Kepulauan Seribu Utara","31.01.01.1003","Pulau Harapan"
"31","Daerah Khusus Ibukota Jakarta","31.01","Kabupaten Administrasi Kepulauan Seribu","31.01.02","Kepulauan Seribu Selatan","31.01.02.1001","Pulau Untung Jawa"
"31","Daerah Khusus Ibukota Jakarta","31.01","Kabupaten Administrasi Kepulauan Seribu","31.01.02","Kepulauan Seribu Selatan","31.01.02.1002","Pulau Tidung"
"31","Daerah Khusus Ibukota Jakarta","31.01","Kabupaten Administrasi Kepulauan Seribu","31.01.02","Kepulauan Seribu Selatan","31.01.02.1003","Pulau Pari"
"31","Daerah Khusus Ibukota Jakarta","31.71","Kota Administrasi Jakarta Pusat","31.71.01","Gambir","31.71.01.1001","Gambir"
"31","Daerah Khusus Ibukota Jakarta","31.71","Kota Administrasi Jakarta Pusat","31.71.01","Gambir","31.71.01.1002","Cideng"
"31","Daerah Khusus Ibukota Jakarta","31.71","Kota Administrasi Jakarta Pusat","31.71.01","Gambir","31.71.01.1003","Petojo Utara"
"31","Daerah Khusus Ibukota Jakarta","31.71","Kota Administrasi Jakarta Pusat","31.71.01","Gambir","31.71.01.1004","Petojo Selatan"
"31","Daerah Khusus Ibukota Jakarta","31.71","Kota Administrasi Jakarta Pusat","31.71.01","Gambir","31.71.01.1005","Kebon Kelapa"
"31","Daerah Khusus Ibukota Jakarta","31.71","Kota Administrasi Jakarta Pusat","31.71.01","Gambir","31.71.01.1006","Duri Pulo"
"31","Daerah Khusus Ibukota Jakarta","31.71","Kota Administrasi Jakarta Pusat","31.71.02","Sawah Besar","31.71.02.1001","Pasar Baru"
"31","Daerah Khusus Ibukota Jakarta","31.71","Kota Administrasi Jakarta Pusat","31.71.02","Sawah Besar","31.71.02.1002","Karang Anyar"
"31","Daerah Khusus Ibukota Jakarta","31.71","Kota Administrasi Jakarta Pusat","31.71.02","Sawah Besar","31.71.02.1003","Kartini"
"31","Daerah Khusus Ibukota Jakarta","31.71","Kota Administrasi Jakarta Pusat","31.71.02","Sawah Besar","31.71.02.1004","Gunung Sahari Utara"
"31","Daerah Khusus Ibukota Jakarta","31.71","Kota Administrasi Jakarta Pusat","31.71.02","Sawah Besar","31.71.02.1005","Mangga Dua Selatan"
"31","Daerah Khusus Ibukota Jakarta","31.71","Kota Administrasi Jakarta Pusat","31.71.03","Kemayoran","31.71.03.1001","Kemayoran"
"31","Daerah Khusus Ibukota Jakarta","31.71","Kota Administrasi Jakarta Pusat","31.71.03","Kemayoran","31.71.03.1002","Kebon Kosong"
"31","Daerah Khusus Ibukota Jakarta","31.71","Kota Administrasi Jakarta Pusat","31.71.03","Kemayoran","31.71.03.1003","Harapan Mulia"
"31","Daerah Khusus Ibukota Jakarta","31.71","Kota Administrasi Jakarta Pusat","31.71.03","Kemayoran","31.71.03.1004","Serdang"
"31","Daerah Khusus Ibukota Jakarta","31.71","Kota Administrasi Jakarta Pusat","31.71.03","Kemayoran","31.71.03.1005","Gunung Sahari Selatan"
"31","Daerah Khusus Ibukota Jakarta","31.71","Kota Administrasi Jakarta Pusat","31.71.03","Kemayoran","31.71.03.1006","Cempaka Baru"
"31","Daerah Khusus Ibukota Jakarta","31.71","Kota Administrasi Jakarta Pusat","31.71.03","Kemayoran","31.71.03.1007","Sumur Batu"
